('085669980', 'Angelic','pbkdf2:sha256:50000$UgcjLxtz$53483568040ad57f6c878319139daa41f209ac5dacf770aba33754128da95f86', '1978-05-22', '1967 Jordan, Milwaukee, WI', 'irsocorro@fafire.br')
('501286917', 'Adscititious','pbkdf2:sha256:50000$JvHSpM4D$f3cfd8229b0207b1304bdc9c80961ca96cd8aaf2acfe53629c328ef40b41751d', '1952-09-15','971 Fire Oak, Humble, TX', 'scelerisque@aliquam.com')
('008849203', 'Pastichewas','pbkdf2:sha256:50000$WR94gX9c$22db8d09671d8edfe6c89cbda2f03b62d375a487db8992c79f9559099286628f', '1958-07-19','3321 Castle, Spring, TX', 'id@nulla.com')
('577228421', 'Largesse','pbkdf2:sha256:50000$MHv6IEIy$f3fae65fca4c13bfb954f39f91ec984f84d04c2f655ca4dc2de7af60cf41bf15', '1955-01-09','731 Fondren, Houston, TX', 'aliquam@erat.com')
('389156190', 'Amaranth','pbkdf2:sha256:50000$AWXGidZk$c3664bf3febf90d68e7152454d45ea04004367a1e711b2eadcba907addc04cbb', '1931-06-20','291 Berry, Bellaire, TX', 'mattis@commodo.com')
('648227273', 'Coelacanth','pbkdf2:sha256:50000$jnIoYPCK$96f58b82699f25235cf059fe0528ae122643446a2da4323817534d414ea0a97f', '1945-12-08','638 Voss, Houston, TX', 'lacus@molestie.com')
('506880757', 'Clarionwas','pbkdf2:sha256:50000$1UdD8XeS$a1358881caac9a0c057ac5de1c72a8a716d51fb5fcfdd55562cd428e1328c88a', '1927-11-10','450 Stone, Houston, TX', 'bibendum@ac.com')
('085304579', 'Boulevard','pbkdf2:sha256:50000$2MxdrepH$87e762f855213d52d9ada950af0f11d851a83c20d4c2f2d121d803d083b4d877', '1966-12-16','112 Third St, Milwaukee, WI', 'fames@fermentum.com')
('393309045', 'Sussurous','pbkdf2:sha256:50000$DLtH30TB$c2fa5312298d711baeb3bd31f6d33557b4ed7168974e444750067bd32024d369', '1967-11-11','263 Mayberry, Milwaukee, WI', 'tristique@sit.com')
('522407366', 'Soliloquy','pbkdf2:sha256:50000$OENjVF0G$40343eaf38aa6febcb039016fa4ab165f72d85b4082cef5d41bc1526c3c36109', '1960-03-21','565 Jordan, Milwaukee, WI', 'pretium@malesuada.com')
('003389041', 'Esclavage','pbkdf2:sha256:50000$OAJhNqUV$ddccb8223dc306d0b9f5f28a6a62f89db22179a938494e77ea72b2705d5a3dfe', '1970-10-23','6677 Mills Ave, Sacramento, CA', 'tortor@praesent.com')
('640804931', 'Dissemble','pbkdf2:sha256:50000$tvJNIkgW$1f3ff35aec7de57b701b01be6c0e110fd4925c47547cfc051937736fb442c669', '1970-01-07','145 Bradbury, Sacramento, CA', 'dignissim@laoreet.com')
('059161255', 'Lovable','pbkdf2:sha256:50000$yh7R7PC8$414950584070934cd1c021a8c23a2d578b6b290a284a32f417505b0fbd2b7325', '1956-06-19','111 Hollow, Milwaukee, WI', 'egestas@duis.com')
('574823410', 'Melodywis5656','pbkdf2:sha256:50000$EGx0Ij0r$5a05a962d96cf4cd77ea55cc49ac8653bec8c045ddd324021b6cbdb66c6781d8', '1966-06-18','233 Solid, Milwaukee, WI', 'adipiscing@integer.com')
('509429536', 'Nacarat','pbkdf2:sha256:50000$DjJhK8WZ$22fb3c3be7144ca1bb771e3ad8ff97dd974f00cad79b004a260bc89edf947d4a', '1977-07-31','987 Windy St, Milwaukee, WI', 'blandit@orci.com')
('215718002', 'Cereology','pbkdf2:sha256:50000$HlbXeTFD$5d84559cb4218a9dfffeda219ea983bf807007937c3416df39fb1b72cdc34ea5', '1969-04-16','222 Howard, Sacramento, CA', 'sapien@ac.com')
('471022680', 'Portico','pbkdf2:sha256:50000$Sra7Zmam$15b352eec748c7c16639c5556b416cf4df1ce15162f0ef0be0a8ddf1ecff2374', '1968-04-17','8794 Garfield, Chicago, IL', 'nibh@suspendisse.com')
('396484738', 'Puregie687','pbkdf2:sha256:50000$vEn9HNqZ$1f6efe4016b792d5d671f5075bee92be56984361f37f094c69ea4a7e3cda68a0', '1966-01-14','6234 Lincoln, Chicago, IL', 'vel@dignissim.com')
('218549970', 'Medallion','pbkdf2:sha256:50000$wQLyXYoI$d69ab3ab50e0b39ba8d4e42dc4a672930cceba86b23c37c57039745a1e042086', '1966-04-16','1976 Boone Trace, Chicago, IL', 'vulputate@malesuada.com')
('392076224', 'Posiratio','pbkdf2:sha256:50000$2OglOIh5$8320c2d50fc3dcd45a55657f0e9b6ecf5ba73138dadc0548dbc33213520c2e0c', '1963-06-09','417 Hancock Ave, Chicago, IL', 'viverra@turpis.com');
